tweet,sentiment_score,sentiment
@AlberthPineda10 @leosaquettoOF @leosaquettoOF também quero montar e ai como faz?,0,Neutral
"RT @DomainDead: Fighting against AI isn’t fighting progress, it’s fighting regression. 

They want us to become stupider, stop thinking, st…",-0.8442,Negative
"RT @Glasses_Lion: 終わりが見えた…！！

AI課金5万、M4 Max 128GB、ディスプレイ5枚。
1週間フル稼働で、持てるリソースを全て注ぎ込みました。

全ては「ARiVE」を選んでくれた人が、もっとワクワクしながらサムネを作れるようにするため。

控え…",0,Neutral
RT @R58931M: AI agents collapse without trusted context. Hallucinations start from ungrounded inputs; decisions fail when reality is assume…,-0.8502,Negative
"RT @andrew_fra24081: Keep grinding $TAO A decentralized AI intelligence powered by @inspectxyz 

Are u still active 
Like❤
Comment 💬
Retwee…",0.91,Positive
RT @douniaaoff: J'ai besoin d'un copain qui kifera faire ce genre de photo avec moi 🙃 https://t.co/MvWQptNc7H,0,Neutral
@ai_elon_musk_ @Kindred_AI Kindred companion are best agent,0.6369,Positive
RT @Justadumbartist: I’d rather see a kid drawing stick figures then a grown ass adult using Ai garbage on their art,-0.5423,Negative
"RT @darjeelingt: 한국 ai 관련 노출되는 사람들은 필요없이 자극적이거나 표현이 격하다.
여러번 말했다시피
유투브가 자주 올라오고 재미있으면 사짜고 
졸리거나 업데이트가 느리고 코드화면 많이 나오고 조회수가 적어야 전문가라는 나의 편견은…",0,Neutral
"RT @qq22903773: Bad boys like your bully always know how to handle a slutty MILF like your mom 😉💪🏾💦
https://t.co/ucZ3i5y0X8 https://t.co/zT…",-0.7184,Negative
RT @stakafumi1986: noteがこれまで以上に注目されている背景には、間違いなくAIO（AI最適化）の効果がある。AI検索で引用されるコンテンツを調べていくと、noteの記事が非常に多く参照されていることがわかった。理由は明確で、noteはXのような短文プラット…,0,Neutral
"RT @B2Edword51093: Best Powerful AI Tool Ideas

1. AI Thinking &amp; Research
•ChatGPT
•Claude
•Perplexity

2. Presentations &amp; Slides
•Prezi
•S…",0.7906,Positive
RT @_cho_6: 성호한테 ai더빙 부탁했어요 🎂💞 https://t.co/0M3v1GDkeD,0.6486,Positive
"🔥 FDV Surge Alert 🔥

💰 - 61E5vgK32d4mUfqptgmTCuFGNzxqNN8zM8aYRe1Y8W2Y
💯 - $Google AI
📈 - FDV 5min 🔝 +$941K(+78.87%) 
🚀 - Holder - 210
📣 Alert 👉 https://t.co/glubUOpTGS
🤖 Check 👉 https://t.co/fjXMkG2HBy 💎
―Get rewarded in SOL just by trading― https://t.co/HOC32pguW1",0.6523,Positive
"RT @DZRNdAm5Pw10138: Grokで『ビキニにして』
この流れマジで危険よな。

俺が今の時代に中学生してたら、クラスの女の写真をAI加工して、オカズにしてる。それが大前提で、男子のグループで良作はシェアしてる。

ダメとかじゃない。餓鬼がこんなもん制御できるわ…",0,Neutral
"RT @yhezosea: PREMIUM ACCOUNT PH FOR SALE 💗

VIU
LOKLOK
HBO MAX
YOUTUBE
CANVA PRO
NETFLIX
DISNEY PLUS
PRIME VIDEO
QUILLBOT
GRAMMARLY
MICROS…",0.7096,Positive
@flyiiawei @Kindred_AI @zama Kindred和Zama的NFT策略都抓到了核心激励点，执行力是关键。,0,Neutral
"Earn by sharing your thoughts on what real wellness should look like.
Not the marketing version, the human version.
Discuss with @LifeNetwork_AI: https://t.co/cHUEVWpFr8
Code: GKXDWJM
#LifeAITestnet #HealthcareAI",0.802,Positive
@R2D2zen grateful for sharing this thoughtful perspective and spotlighting projects like xyberinc that aim to broaden access to ai advances,0.8834,Positive
"@pappyk00 @Xyberinc @xeetdotai sounds legit, xyber goin all in on ai autonomy lol",0.4215,Positive
RT @r18rensyu: 絵描きや声優や俳優そして一般の方でも無断AIモデルを作られたりディープフェイクや詐欺など生成AIによる被害を受けた場合は1人で悩まずに是非文化庁の窓口に相談をお願いします。 他の方が被害を受けているのを発見して本人に伝える際には相談窓口があることも…,0,Neutral
